gse_id,contact_country,date_cleaned,sex,race,sex_ratio,race_dist_score,DEI score
GSE80325,USA,2016-04-15,0.0,0.0,0.0,0.0,0.0
GSE103927,USA,2017-09-15,1.0,0.0,0.47027806759945434,0.0,3.940556135198909
GSE75214,BEL,2014-07-03,0.0,0.0,0.0,0.0,0.0
GSE97284,USA,2017-03-31,0.0,0.0,0.0,0.0,0.0
GSE61240,USA,2014-09-09,0.0,0.0,0.0,0.0,0.0
GSE84635,USA,2016-07-20,0.0,0.0,0.0,0.0,0.0
GSE84632,USA,2016-07-20,0.0,0.0,0.0,0.0,0.0
GSE103512,USA,2017-09-05,0.0,0.0,0.0,0.0,0.0
GSE83591,CAN,2016-06-21,0.0,0.0,0.0,0.0,0.0
GSE75313,USA,2015-11-23,0.0,0.0,0.0,0.0,0.0
GSE87455,SWE,2016-09-28,0.0,0.0,0.0,0.0,0.0
GSE93601,USA,2017-01-13,0.0,0.0,0.0,0.0,0.0
GSE76327,USA,2010-06-03,0.0,0.0,0.0,0.0,0.0
GSE76324,USA,2010-06-03,0.0,0.0,0.0,0.0,0.0
GSE63127,USA,2006-03-20,0.05217391304347826,0.0,0.028004411147890096,0.0,0.21253056142621496
GSE103091,FRA,2014-06-25,0.0,0.0,0.0,0.0,0.0
GSE18385,USA,2006-03-20,1.0,0.0,0.12421754448257372,0.0,3.2484350889651474
GSE102971,USA,2017-08-23,0.0,0.0,0.0,0.0,0.0
GSE85307,USA,2016-08-08,0.0,0.0,0.0,0.0,0.0
GSE85942,USA,2016-08-23,0.0,0.0,0.0,0.0,0.0
GSE53882,CHN,2014-01-14,0.0,0.0,0.0,0.0,0.0
GSE79396,USA,2016-03-18,0.0,1.0,0.0,0.4928158286473055,4.492815828647306
GSE72970,FRA,2015-09-12,0.0,0.0,0.0,0.0,0.0
GSE99340,USA,2017-05-25,0.0,0.0,0.0,0.0,0.0
GSE99339,USA,2017-05-26,0.0,0.0,0.0,0.0,0.0
GSE99325,USA,2017-05-25,0.0,0.0,0.0,0.0,0.0
GSE102484,TWN,2017-08-10,0.0,0.0,0.0,0.0,0.0
GSE73731,SGP,2015-11-05,0.0,0.0,0.0,0.0,0.0
GSE102287,USA,2017-07-26,0.0,0.5591836734693878,0.0,0.9325790676813567,3.1693137615589078
GSE102238,CHN,2017-08-03,0.0,0.0,0.0,0.0,0.0
GSE81986,SGP,2016-05-27,0.0,0.0,0.0,0.0,0.0
GSE81985,SGP,2016-05-27,0.0,0.0,0.0,0.0,0.0
GSE81983,SGP,2016-05-27,0.0,0.0,0.0,0.0,0.0
GSE81981,SGP,2016-05-27,0.0,0.0,0.0,0.0,0.0
GSE81980,SGP,2016-05-27,0.0,0.0,0.0,0.0,0.0
GSE102088,USA,2017-07-31,0.0,1.0,0.0,0.47697377939481084,4.476973779394811
GSE102006,NLD,2017-07-28,0.0,0.0,0.0,0.0,0.0
GSE94496,USA,2017-02-03,0.0,0.0,0.0,0.0,0.0
GSE94499,USA,2017-02-03,0.0,0.0,0.0,0.0,0.0
GSE93987,USA,2017-01-24,0.0,0.0,0.0,0.0,0.0
GSE64614,USA,2010-06-03,0.0,0.0,0.0,0.0,0.0
GSE83452,FRA,2016-06-16,0.0,0.0,0.0,0.0,0.0
GSE98320,CAN,2017-04-28,0.0,0.0,0.0,0.0,0.0
GSE100853,CAN,2017-07-06,0.0,0.0,0.0,0.0,0.0
GSE100833,USA,2017-07-05,0.9353523587652883,0.0,0.5813514389718268,0.0,3.9687599542395184
GSE100752,SGP,2017-07-03,0.0,0.0,0.0,0.0,0.0
GSE89749,SGP,2016-11-10,0.0,0.0,0.0,0.0,0.0
GSE81071,USA,2016-05-03,0.0,0.0,0.0,0.0,0.0
GSE77791,FRA,2016-02-10,0.8888888888888888,0.0,0.10483323528560329,0.0,2.8763331372378733
GSE99221,USA,2016-03-08,0.0,0.0,0.0,0.0,0.0
GSE85034,USA,2016-08-01,0.0,0.0,0.0,0.0,0.0
GSE77741,USA,2015-07-06,0.0,0.0,0.0,0.0,0.0
GSE70536,USA,2015-07-06,0.0,0.0,0.0,0.0,0.0
GSE80796,USA,2016-04-28,0.0,0.0,0.0,0.0,0.0
GSE76311,USA,2015-12-21,0.0,0.0,0.0,0.0,0.0
GSE76297,USA,2015-12-23,0.0,0.0,0.0,0.0,0.0
GSE82152,CHN,2016-06-02,0.0,0.0,0.0,0.0,0.0
GSE100431,USA,2017-06-15,0.0,0.0,0.0,0.0,0.0
GSE100430,USA,2017-06-23,0.0,0.0,0.0,0.0,0.0
GSE100383,USA,2017-06-22,0.0,0.0,0.0,0.0,0.0
GSE83393,BEL,2016-06-15,0.9863013698630136,0.0,0.7808391806377923,0.0,4.520582470864626
GSE84006,CHN,2016-07-05,0.0,0.0,0.0,0.0,0.0
GSE97964,GBR,2017-04-17,0.0,0.0,0.0,0.0,0.0
GSE76402,ITA,2015-12-29,0.0,0.0,0.0,0.0,0.0
GSE73255,ITA,2015-09-21,0.0,0.0,0.0,0.0,0.0
GSE85218,CAN,2016-08-04,0.0,0.0,0.0,0.0,0.0
GSE85217,CAN,2016-08-04,0.0,0.0,0.0,0.0,0.0
GSE81582,ESP,2016-05-18,0.0,0.0,0.0,0.0,0.0
GSE73129,USA,2015-09-17,0.0,0.3565217391304348,0.0,0.8196580044448555,2.2457449609665945
GSE90732,GBR,2016-12-01,0.0,0.0,0.0,0.0,0.0
GSE83892,GBR,2016-06-30,0.0,0.0,0.0,0.0,0.0
GSE81653,USA,2016-05-19,0.0,0.0,0.0,0.0,0.0
GSE58394,JPN,2014-06-11,0.0,0.0,0.0,0.0,0.0
GSE82173,NLD,2016-06-02,0.0,0.0,0.0,0.0,0.0
GSE82172,NLD,2016-06-02,0.0,0.0,0.0,0.0,0.0
GSE94601,SWE,2017-02-07,0.9937106918238994,0.0,0.7608356373457996,0.0,4.502803350163298
GSE83889,KOR,2016-06-29,0.0,0.0,0.0,0.0,0.0
GSE76427,SGP,2015-12-30,0.0,0.0,0.0,0.0,0.0
GSE87304,CAN,2017-01-26,0.0,0.0,0.0,0.0,0.0
GSE99039,ISR,2017-05-17,0.0,0.0,0.0,0.0,0.0
GSE98793,GBR,2017-05-11,0.0,0.0,0.0,0.0,0.0
GSE78150,CAN,2016-02-16,0.0,0.0,0.0,0.0,0.0
GSE78148,CAN,2016-02-22,0.0,0.0,0.0,0.0,0.0
GSE77968,CAN,2016-02-16,0.0,0.0,0.0,0.0,0.0
GSE98682,FRA,2017-05-08,0.0,0.0,0.0,0.0,0.0
GSE68469,TWN,2015-05-01,0.0,0.0,0.0,0.0,0.0
GSE68466,TWN,2015-05-01,0.0,0.0,0.0,0.0,0.0
GSE67185,USA,2015-03-23,0.0,0.0,0.0,0.0,0.0
GSE95611,CAN,2017-03-02,0.0,0.0,0.0,0.0,0.0
GSE85817,BRA,2016-08-17,0.0,0.0,0.0,0.0,0.0
GSE97743,VNM,2017-04-13,1.0,0.0,0.1445569473123618,0.0,3.2891138946247236
GSE97742,VNM,2017-04-13,1.0,0.0,0.1445569473123618,0.0,3.2891138946247236
GSE97741,VNM,2017-04-13,1.0,0.0,0.1445569473123618,0.0,3.2891138946247236
GSE93204,USA,2017-01-05,0.0,0.0,0.0,0.0,0.0
GSE87610,USA,2016-10-04,0.0,0.0,0.0,0.0,0.0
GSE97293,SWE,2017-03-29,0.0,0.0,0.0,0.0,0.0
GSE76925,USA,2016-01-15,1.0,0.026490066225165563,0.6510900737791112,0.9325790676813567,5.340719480140241
GSE85871,CHN,2016-08-19,0.0,0.0,0.0,0.0,0.0
GSE79547,ITA,2016-03-23,0.0,0.0,0.0,0.0,0.0
GSE79545,ITA,2016-03-23,0.0,0.0,0.0,0.0,0.0
GSE79533,JPN,2016-03-23,0.0,0.0,0.0,0.0,0.0
